,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly total volume
,,,,,,,,
Week 1,1.0,1.0,1.1,,1.1,1.1,1.1,
Week 2,1.2,1.2,1.2,,1.3,1.3,1.3,
Week 3,1.4,1.4,1.4,,1.4,1.4,1.5,
Week 4 ,,1.5,1.5,,1.5,1.6,1.5,
Week 2,1.2,1.5,1.3,,1.2,1.4,1.3,
Week 5 ,1.6,1.6,1.6,,1.6,1.4,1.7,
Week 6 ,1.6,1.7,1.6,,1.7,1.7,1.7,
Week 7 ,1.8,1.8,1.7,,1.8,1.8,1.7,
Week 8,1.8,1.9,1.6,,1.9,1.8,1.9,
Week 9,1.9,,1.7,,1.5,1.4,1.4,
Week 10,1.9,1.8,1.9,,2.0,2.0,1.9,
Week 11,2.0,2.1,2.1,,2.0,,2.1,
Week 12,2.1,2.2,2.3,,2.3,2.3,2.1,
Week 13,2.2,2.3,2.3,,2.3,2.4,2.5,
Week 14,2.4,2.3,2.4,,2.4,2.4,1.9,
Week 15,1.6,1.0,1.0,,1.8,1.7,2  X 1.0,
Week 16,2.3,2.4,2.4,,2.5,2.5,2.4,
Week 17,2.4,,2.5,,2.2,2.5,2.4,
Week 18,,,,,,,,
Week 19,,,,,,,,